多遗憾啊！	Too bad.
马倒下时脖子断了。	The horse broke its neck when it fell.
这件事他铭记于心。	The incident was etched in his memory.
这辆车停在银行前。	This car stopped in front of the bank.
只有一人倖免於難。	Only one person survived the accident.
音乐会上有很多人。	There were many people at the concert.
学生们都在学英语。	All the students are studying English.
您的订单确认如下。	We will confirm your order as follows.
代我向你家人问好。	Please remember me to all your family.
我需要用药来镇痛。	I need some medicine to kill the pain.
这部小说很难读懂。	This novel is difficult to understand.
你求他帮忙没有用。	It's no use your begging him for help.
轮到你回答问题了。	It's your turn to answer the question.
“怎么了”“车出了故障”	"What happened?" "The car broke down."
昨晚有一場大地震。	There was a big earthquake last night.
我的打字机故障了。	Something is wrong with my typewriter.
我爸爸去世有10年了。	My father has been dead for ten years.
汽车的数量在增长。	The number of cars is on the increase.
大象被猎人杀死了。	The elephant was killed by the hunter.
这幢楼以前是医院。	Formerly this building was a hospital.
早睡早起身体棒棒。	To keep early hours makes you healthy.
有一只风筝在树上。	There is a kite flying above the tree.
有人穿错了我的鞋。	Someone has taken my shoes by mistake.
有人拿错了我的鞋。	Someone has taken my shoes by mistake.
中国人民非常勤劳。	The Chinese are a hard-working people.
列车停下前别下车。	Don't get off the train till it stops.
忍耐是最美的美德。	Patience is the most beautiful virtue.
他的努力没有成果。	Nothing has resulted from his efforts.
他的发音远非完美。	His pronunciation is far from perfect.
他喜欢偶尔去海边。	He likes to go to the beach sometimes.
他在班上出類拔萃。	He towers above the rest of the class.
他要求约翰去那里。	He demanded that John should go there.
人们怀疑他是间谍。	He was under suspicion of being a spy.
他在纽约待了三周。	He stayed in New York for three weeks.
他们把他奉为领袖。	They looked up to him as their leader.
她不仅友好还诚实。	She is not only kind, but also honest.
她给她妈妈打电话。	She called up her mother on the phone.
她照顾可怜的小鸟。	She took care of the poor little bird.
她会说英语和德语。	She can speak both English and German.
他在家里照顾孩子。	She's at home taking care of the kids.
她控告他偷她的钱。	She accused him of stealing her money.
她比丈夫多活十年。	She survived her husband by ten years.
她裁下布製作繃帶。	She cut up the cloth to make bandages.
难民与饥饿作斗争。	The refugees struggled against hunger.
攜帶武器是違法的。	It's against the law to carry weapons.
暴力是社会的癌症。	Violence is the cancer of our society.
那藥治好了他的病。	The medicine cured him of his illness.
你的论文写完了吗？	Have you finished writing your thesis?
汉语字是很美丽的。	Chinese characters are very beautiful.
我等了你五个小时。	I've been waiting for you for 5 hours.
那是我妹妹的照片。	That's my younger sister's photograph.
我厌倦了这种生活。	I'm tired of living this kind of life.
咱们玩儿捉迷藏吧。	Let's play a game of blind man's buff.
十一点准时到车站。	Be at the station at 11 o'clock sharp.
因为你我们才迟了。	It's because of you that we were late.
你想跟我去野餐吗？	Do you want to go on a picnic with me?
公園裡有太多人了。	There are too many people in the park.
我们去公园拍照了。	We've gone to the park to take photos.
当然，我现在就去找。	Certainly. I'll look for it right now.
请给我最大的菠萝。	Please, give me the biggest pineapple.
你想在德国买房吗？	Do you want to buy a house in Germany?
这地方有多少洞穴？	How many caves are there in this area?
我想談談你的情況。	I'd like to talk about your situation.
你想如何过完一生？	What do you want to do with your life?
花园离你家有多远？	How far is the garden from your house?
那艘船上有多少人？	How many people were aboard that ship?
我今天不想买报纸。	I don't want to buy a newspaper today.
他对外国人有偏见。	He has a prejudice against foreigners.
我刚跟主管人谈过。	I just talked to the person in charge.
要是卖完了，就算了。	If it’s sold out, then just forget it.
你有除锈的东西吗？	Do you have anything to remove stains?
能再告诉我一点吗？	Can you tell us a bit more about that?
篮子里有很多鸡蛋。	There are a lot of eggs in the basket.
汤姆阻止我进银行。	Tom stopped me from entering the bank.
他是数学系的导师。	He is a tutor for the math department.
我不管你说， 我恨你！	I don't care what you say, I hate you!
北京今天空气很好。	The air is very good in Beijing today.
你熟悉这个领域吗？	Is that an area you are familiar with?
同学们都在学英文。	The students are all learning English.
你多久看一次郵箱？	How frequently do you check your mail?
湯姆正在廚房洗碗。	Tom is in the kitchen, washing dishes.
他们跟我说想谈谈。	They told me that they wanted to talk.
汤姆很隐秘，不是吗？	Tom is being very secretive, isn't he?
我没时间跟您碰头。	I don't have time to meet up with you.
明天会下一场大雪。	Tomorrow there will be a big snowfall.
她每天都要喝紅酒。	She wants to drink red wine every day.
飞机消失在丛林中。	The plane disappeared into the forest.
你忠于我还是国王？	To whom are you loyal: me or the king?
到底躲到哪裏去了？	Where in the world could it be hiding?
我用玉米搭配豇豆。	I combined black-eyed beans with corn.
请把我送到家门口。	Drop me off at the front door, please.
你给妈妈写信了吗？	Did you write a letter to your mother?
我通常在晚上洗澡。	I usually take a shower in the evening.
你最好隨身帶把傘。	You'd better take an umbrella with you.
你的手表比我的贵。	Your watch is more expensive than mine.
你真的要去巴黎嗎？	Is it true that you are going to Paris?
栗子至少要煮15分钟。	Boil chestnuts for at least 15 minutes.
我在银行存了1000美金。	I made a deposit of $1,000 at the bank.
記者批評了政治家。	The reporter criticized the politician.
我们按例处罚了他。	We punished him according to the rules.
他心情好就去散步。	When he feels fine, he goes for a walk.
玛丽去环游世界了。	Mary went on a voyage around the world.
那我明天会问他的。	I will ask him about it tomorrow, then.
白天变得越来越长。	The days are getting longer and longer.
你很幸運找到了它。	It was lucky for you that you found it.
店裏擠滿了年輕人。	The shop was crowded with young people.
这条河里有很多鱼。	There are plenty of fish in this river.
这个问题很难回答。	It's difficult to answer this question.
电影不如原著好看。	The movie was less funny than the book.
你能再给我点茶吗？	Would you please give me some more tea?
这些产品质量同等。	These products are of the same quality.
这条路是去机场的。	This road will lead you to the airport.
我想再要一杯咖啡。	I'd like to have another cup of coffee.
甲之蜜糖，乙之砒霜。	One man's meat is another man's poison.
你每个月洗几次车？	How often do you wash your car a month?
在9号站台乘坐快车。	Take the express train from platform 9.
请在7、8点之间打给我。	Please call me between seven and eight.
我会在七八点回家。	I'll be back by seven or eight o'clock.
我的胃偶尔会阵痛。	I have occasional pains in the stomach.
我想成为日语老师。	I want to become a teacher of Japanese.
出席者都是日本人。	Those who are present are all Japanese.
鲜花因缺水而枯萎	The flowers withered for want of water.
几分钟后，电话响了。	A few minutes later the telephone rang.
大城市有很多誘惑。	The big cities are full of allurements.
你的寒假怎么过的？	How did you spend your winter vacation?
突然就下起了大雨。	Suddenly, it started to rain very hard.
日本人放弃了战争。	The Japanese people have renounced war.
你不必要呆在医院。	You don't have to stay in the hospital.
他打算去巴黎旅行。	He contemplated taking a trip to Paris.
他的朋友都尊敬他。	He was looked up to by all his friends.
我知道他们在相爱。	I know they're in love with each other.
他们同时到了巴黎。	They arrived in Paris at the same time.
她承认自己犯了错。	She acknowledged having made a mistake.
她对古董很感兴趣。	She has a great love for antique goods.
我父亲逐渐好转了。	My father is getting better by degrees.
我父亲不让我养狗。	My father won't allow me to keep a dog.
这个房间能容纳200人。	The room has a seating capacity of 200.
一道闪电划破天空。	A sharp crack of thunder split the sky.
我不懂你在说什么。	I don't understand what you are saying.
我今天要早点回家。	I need to go home a little early today.
一日四次，餐后服用。	Take one four times a day, after meals.
明天我要买手机了。	I'm going to buy a cell phone tomorrow.
你国家的人吃米吗?	Do the people of your country eat rice?
熊猫是中国的国宝。	The panda is China's national treasure.
认识他的人都爱他。	He was loved by everyone that knew him.
咬指甲是个坏习惯。	Biting your fingernails is a bad habit.
一些人用手吃寿司。	Some people eat sushi with their hands.
你要用这辆车干嘛？	What are you going to use this car for?
床上有多少張毯子？	How many blankets are there on the bed?
别忘了带上急救箱。	Don't forget to take the first-aid kit.
忘了今天的事儿吧。	Let's forget about what happened today.
你不应该待在这里。	You're not supposed to be in this area.
这家酒店服务很好。	The service is excellent in this hotel.
评论要与主题相关。	Comments must be relevant to the topic.
他汉字写得非常好。	He writes Chinese characters very well.
你没打算耍我，对吧？	You're not trying to trick me, are you?
你在公园做过爱吗？	Have you ever had sex in a public park?
我觉得这没什么好。	I don't have a good feeling about this.
你今晚喝了东西吗？	Have you had anything to drink tonight?
世界人口急剧增长。	World population has rapidly increased.
雨滴敲打窗户玻璃。	The rain beats against the window pane.
我不跟他讲这件事。	I do not speak to him about this thing.
人質將在明天獲釋。	The hostages will be released tomorrow.
谢谢你答应来见我。	Thank you for agreeing to meet with us.
我希望湯姆能同意。	I wish that Tom would agree to do that.
萨米正在再次移动。	Sami is in the process of moving again.
她手里握着一把伞。	She is holding an umbrella in her hand.
我和一些朋友喝酒。	Me and a few friends are drinking wine.
每次见面都打招呼。	Greet someone every time you meet them.
你有什么话，只管说。	Whatever words you have, just say them.
上周末我爬山去了。	On the weekend, I climbed the mountain.
他差点在雪中冻死。	He almost froze to death from the snow.
他喝了酒，略有醉意。	He drunk wine, so he is slightly drunk.
她答应不会伤害他。	She promised him she wouldn't hurt him.
今天是六一儿童节。	Today is Children's day on 1st of June.
我很难读懂这本书。	It's difficult for me to read the book.
湯姆放下畫筆，笑了。	Tom set down his paintbrush and smiled.
为什么你姐姐不好？	Why is it not okay if it's your sister?
當然是你提供，快去！	Of course you're the one providing, go!
咖啡里少搁点儿糖。	Don’t put too much sugar in the coffee.
国际政治风云变幻。	World politics are constantly changing.
今天不热，今天很冷。	It isn't hot today. It's cold actually.
冬天我蓋一條被子。	In winter, I cover myself with a quilt.
长大后你想作什么？	What do you want to be when you grow up?
你要在倫敦待幾天？	How many days will you remain in London?
我真是哭笑不得了。	I don't know whether to cry or to laugh.
书桌上有一把剪刀。	There is a pair of scissors on the desk.
不要笑他犯了错误。	Don't laugh at him for making a mistake.
遊客諮詢處在哪裡?	Where is the tourist information office?
我们国家不缺石油。	We are not short of oil in this country.
英文比日文更難嗎？	Is English more difficult than Japanese?
这方案听起来不错。	That sounds like a fairly good proposal.
穿那么薄会感冒的。	You'll catch cold in such thin clothing.
穿那么薄，小心感冒。	You'll catch cold in such thin clothing.
这句句子意思模糊。	The meaning of this sentence is obscure.
男孩第一次骑了马。	The boy rode a horse for the first time.
杰克決定取消預約。	Jack decided to cancel the reservations.
现在下船，游到岸边。	Now, get off the boat and swim to shore.
这药会让你舒服些。	This medicine will give you some relief.
这药会让你好受点。	This medicine will make you feel better.
写这本书的是医生。	The man who wrote this book is a doctor.
我今天不想吃东西。	I don't feel like eating anything today.
今天的雲比昨天多。	There's more cloud today than yesterday.
我们学校在市中心。	Our school is in the center of the town.
你以后想当什么呢？	What would you like to be in the future?
请您等几分钟好吗？	Would you please wait for a few minutes?
乘客全都登上了船。	The passengers all went aboard the ship.
我打心底里感激你。	I thank you from the bottom of my heart.
测速的方法有很多。	There are several ways to measure speed.
你在大阪住了多久？	How long have you been staying in Osaka?
大使被从华沙召回。	The ambassador was recalled from Warsaw.
中国是日本的20倍大。	China is twenty times as large as Japan.
没有联系他的方式。	There's no way to get in touch with him.
他的主意不足挂齿。	His proposal is not worth talking about.
他拔起杂草就扔掉。	He pulled up the weed and threw it away.
他有強烈的責任感。	He has a strong sense of responsibility.
他们总是吵个不停。	They are always at each other's throats.
她要和男友分手了。	She is going to part from her boyfriend.
父亲让我去演唱会。	My father asked me to go to the concert.
父亲将会接受手术。	Father is going to undergo an operation.
她对我说8月去巴黎。	She said she will go to Paris in August.
那不是蚂蚱。是蝗虫！	That's not a grasshopper. It's a locust!
我在削芹菜和土豆。	I'm peeling the celery and the potatoes.
他沒有他弟弟聰明。	He is not as intelligent as his brother.
货船早到了四小时。	The cargo ship arrived four hours early.
这么做没什么好处。	Doing things in this way has no benefit.
没有一个学生缺席。	There wasn't one student who was absent.
汤姆说他不想出去。	Tom says he doesn't feel like going out.
不只是钱关系重大。	Money isn't the only thing that matters.
他是聪明能干的人。	He was an intelligent and practical man.
你给我推荐几个吧。	Why don't you give me a few suggestions?
他跟我想的不一样。	He wasn't the same as I thought he'd be.
没有谁比你们辛苦。	No one is more hardworking than you all.
我看了他一段时间。	I looked after him for a period of time.
德语没有冰岛语难。	German is not as difficult as Icelandic.
你还要我做别的吗？	Is there anything else you want from me?
他不擅长于记名字。	He's not very good at remembering names.
他是用钢笔写的信。	He wrote the letter with a fountain pen.
共有三人被困洞中。	There are three men trapped in the cave.
现今手机非常普及。	Nowadays mobile phones are very popular.
汤姆想去还欠的钱。	Tom wants to pay back the money he owes.
你最好别总去想她。	Try not to think about her all the time.
太陽能有益於環保。	Solar power is environmentally friendly.
人有德行，如水之清。	A person has morals like water is clear.
平壤是北韓的首都。	Pyongyang is the capital of North Korea.
平壤是朝鮮的首都。	Pyongyang is the capital of North Korea.
关爱生命，请勿嬉水。	Preserve life; please don't waste water.
湯姆和瑪莉很震驚。	Tom and Mary were surprised and shocked.
汤姆说他不想退休。	Tom said that he doesn't want to retire.
再次感谢您的关注。	Thank you once again for your attention.
自恋是为了更自信。	Narcissism means 'to be more confident'.
我要这本日中词典。	I want this Japanese-Chinese dictionary.
您在德国会呆多久?	How long will you be staying in Germany?
我好，你更好，她最好。	I'm good, you're better, she's the best.
他喜欢看科幻小说。	He likes reading science fiction novels.
老师请了我的家长。	The teacher requested to see my parents.
你犯得上这样做吗？	Is there really a need to act like this?
有人在大堂等汤姆。	Somebody is waiting for Tom in the hall.
这样子我一箭双雕。	That way I kill two birds with one stone.
金價每天都在變動。	The price of gold varies from day to day.
外交官有多种特权。	Diplomats are allowed various privileges.
你多久看一次牙医？	How often do you have to see the dentist?
这是我外婆的假牙。	It's my grandmother's set of false teeth.
这是我奶奶的假牙。	It's my grandmother's set of false teeth.
那家店正对着车站。	The shop is just in front of the station.
房子里家具太多了。	There is too much furniture in the house.
約翰最近胖了很多。	John has put on a lot of weight recently.
这是邮局，那是银行。	This is a post office and that is a bank.
98名乘客只有3人生还。	Only 3 out of the 98 passengers survived.
我收集各国的娃娃。	I collect dolls from different countries.
我花了3小时做作业。	It took me three hours to do my homework.
我很累所以早睡了。	I was very tired, so I went to bed early.
时间比什么都宝贵。	Time is more precious than anything else.
实话说，我不赞成你。	Frankly speaking, I don't agree with you.
图书馆位于市中央。	The library is in the middle of the city.
消息在城里传遍了。	In the city, the information is flooding.
日本有很多活火山。	There are many active volcanoes in Japan.
你得注意他说的话。	You should pay attention to what he says.
他否认参与了犯罪。	He denied having taken part in the crime.
她经常来这个国家。	She's a frequent visitor to this country.
说的好不如做的好	It is better to do well than to say well.
旅行前，我剪了头发。	Before taking a journey, I got a haircut.
她榨了許多柳橙汁。	She squeezed the juice from many oranges.
您能教我弹钢琴吗？	Could you teach me how to play the piano?
孩子们早上去学校。	The children go to school in the morning.
他没有任何朋友玩。	He doesn't have any friends to play with.
不可做的原因多了。	There are many good reasons not to do it.
这个程序缺陷满多。	This process has a lot of inconveniences.
他会拿到一小笔钱。	He would be paid a small amount of money.
我肯定这是淡水鱼。	I'm sure that this is a fresh water fish.
你要干洗还是湿洗？	Do you want dry cleaning or regular wash?
戒酒一年对身体好。	Giving up drinking for a year is healthy.
她的祖母活到了88岁。	Her grandmother lived to be 88 years old.
鸟一点一点地筑巢。	Little by little, the bird made his nest.
請把披薩分成三份。	Please divide the pizza into three parts.
我最近压力有点大。	I've been under a lot of pressure lately.
"来杯茶怎样?" "嗯，好的。"	"Would you like some tea?" "Yes, please."
从你来时的路回家。	Take the same road home that you came on.
我很喜欢学习中文。	I am very interested in learning Chinese.
只有游客才这么做。	The only people who do this are tourists.
要不一起到车站去？	Do you want to go to the station with me?
他光是嫁祸于人家。	He is just passing the blame onto others.
我试着在河里游泳。	I continued to try swimming in the river.
雷雨天气请勿登山	Lightning-prone area: please do not climb
明天你几点要上学？	What time will you go to school tomorrow?
许多灯照亮了街道。	The street is illuminated by many lights.
冰箱装满了调味品。	The fridge is overloaded with condiments.
汤姆去了澳洲几次？	How many times has Tom been to Australia?
我再给你一次机会。	I'll give you one more chance to do that.
意义的原句是相反。	The original sentence means the opposite.
这班火车几点钟开？	What time does the train leave from here?
他獨自坐在櫃台旁。	He was sitting at the counter by himself.
格陵兰岛比德国冷。	In Greenland it's colder than in Germany.
别在我面前再提了！	Don't ever say this in my presence again!
我想在这儿待几天。	I want to stay here for a couple of days.
我是你四樓的鄰居。	I'm your neighbour from the fourth floor.
这些学者以前在哪？	Where were these scholars at before this?
齊里用指甲剝枇杷。	Ziri uses his fingernail to peel loquats.
我決定今年不休假。	I decided not to go on holiday this year.
现在我开始发铜牌。	Now I am starting to issue copper medals.
七除四十九等於七。	Forty-nine divided by seven equals seven.
很遺憾你不相信我。	That you don't believe me is a great pity.
我从没认为你错了。	I do not for a moment think you are wrong.
空中有一大片乌云。	There is a mass of dark clouds in the sky.
我们为表演者鼓掌。	We gave the performer a round of applause.
别忘了把香烟熄掉。	Don't forget to extinguish your cigarette.
第一步是最麻煩的。	It is the first step which is troublesome.
尽早让我知道结果。	Let me know the result as soon as you can.
我处理这事有困难。	It is difficult for me to handle the case.
我们要订18吨橄榄油。	We'd like to order 18 tonnes of olive oil.
英国的天气经常变。	The weather changes very often in England.
你喜不喜欢没关系。	Whether you like it or not doesn't matter.
警方能夠找到罪犯。	The police were able to find the criminal.
今夜，星光燃亮天際。	The heavens are bright with stars tonight.
事故沒減少而增加。	Instead of fewer accidents there are more.
情况一天比一天差。	The situation is getting worse by the day.
总统说，我才不屌呢。	The president said, "I don't give a damn."
谁都希望世界和平。	We are all longing for peace in the world.
农民总是抱怨天气。	Farmers always complain about the weather.
他似乎什么都知道。	It seems to have that he knows everything.
他和他的邻居相处。	He is getting along with his neighborhood.
她很擅长英语教学。	She has great ability in teaching English.
她无法直视我的脸。	She couldn't look me straight in the face.
我消夜吃了速食面。	I had instant noodles as a midnight snack.
洗手间的灯坏掉了。	The lights in the bathroom aren't working.
我正存钱出国留学。	I'm saving money in order to study abroad.
全体负责就是无责。	Everybody's business is nobody's business.
夏天我穿短袖衬衫。	In the summer I wear short-sleeved shirts.
你为什么要骂人家？	Why do you go about being cross at people?
苹果是非凡的手机。	The iPhone is an extraordinary cell phone.
送比萨的人还没来。	The pizza delivery guy hasn't come by yet.
这家工厂生产电炉。	This factory manufactures electric stoves.
湯姆擔心工作出錯。	Tom worries about making mistakes at work.
他让我气得头疼了。	He made me so angry that I got a headache.
他们忙于社会改革。	They were busy working for social reforms.
熬夜是皮肤的大敌。	Staying up late is terrible for your skin.
爱民主就是爱平等。	The love of democracy is that of equality.
鸡蛋至少要煮5分钟。	An egg should cook for at least 5 minutes.
我最近着迷于法语。	I have been obsessed with French recently.
你打算去哪儿过夜？	Where are you planning to spend the night?
我试着用法语提问。	I am trying to ask my questions in French.
你一天比一天漂亮。	You get more and more beautiful every day.
溪流潺潺，催我入眠。	The murmur of the brook lulls me to sleep.
河在山丘的另一端。	The river's on the other side of the hill.
我今天没时间冲澡。	I didn't have time to take a shower today.
缺少运动有害健康。	A lack of exercise is bad for your health.
你的咖啡里水很少。	There is very little water in your coffee.
今天汤姆有点奇怪。	There's something strange about Tom today.
牙医对病人很客气。	The dentist is very polite to the patient.
室外的空调很便宜。	External air conditioners are quite cheap.
掌握一门外语很难。	Mastering a foreign language is difficult.
医生在给病人看病。	The doctor was giving a patient a checkup.
法庭宣判被告无罪。	The court declared the defendant innocent.
我只是想敞开心扉。	I just need to get something off my chest.
你必须多关注细节。	You need to pay more attention to details.
我的家在公园南边	My house is on the south side of the park.
汤姆说他考虑辞职。	Tom said he's considered quitting his job.
我父亲没之前好了。	My father is not as well as he was before.
他哥哥仍然比較高。	His brother is still taller in comparison.
狗在毯子上睡著了。	The dog fell asleep on top of the blanket.
她也会讲一点法语。	She can also speak a little bit of French.
冰島沒有加入歐盟。	Iceland has not joined the European Union.
他一直盯着她的腿。	He was staring at her legs the whole time.
感叹号是标点符号。	An exclamation mark is a punctuation mark.
他要去图书馆占位。	He wants to go the library and get a spot.
貓在房子裡追老鼠。	The cat chased the mouse around the house.
“请把盐递给我。”“拿着。”	"Pass me the salt, please." "Here you are."
我讨厌厌烦的感觉。	I'm sick and tired of being sick and tired.
妈妈下午要洗衣服。	Mummy has to do the washing this afternoon.
請看看頁頂的圖片。	Look at the picture at the top of the page.
这钱你和我分了吧。	Let's divide this money between you and me.
口中有蜜，心中有毒。	Honey in the mouth and poison in the heart.
我们周三下午没课。	We have no classes on Wednesday afternoons.
你去过朝鲜半岛吗？	Have you ever been to the Korean Peninsula?
把灯关了。我睡不着。	Switch off the light. I can't get to sleep.
日本依賴進口原料。	Japan depends on imports for raw materials.
他为了健康，戒烟了。	He quit smoking for the sake of his health.
他把车停在大楼前。	He parked his car in front of the building.
她总和她父母吵架。	She was always quarreling with her parents.
这是条有趣的信息。	That's an interesting piece of information.
我不想这种事发生。	I don't want something like this to happen.
她拒绝了我的资助。	She turned down the subsidy that I offered.
妈妈起得比谁都早。	My mother gets up earlier than anyone else.
北京有900万台自行车。	There are nine million bicycles in Beijing.
这个还头一回听说。	This is the first time I've heard about it.
她比其他人都漂亮。	She was more beautiful than all the others.
她一心一意地工作。	She works with single-minded determination.
别担心，她不懂德语。	Don't worry. She doesn't understand German.
汤姆准备承担后果。	Tom is prepared to accept the consequences.
他在大学主修文学。	He majored in literature at the university.
你认为比赛谁会赢？	Who do you think is going to win the match?
地球比台球更光滑。	The Earth is smoother than a billiard ball.
你一天喝幾杯咖啡？	How many cups of coffee do you drink a day?
许多移民改了名字。	Many of the immigrants changed their names.
林肯向前政敌行礼。	Lincoln greeted his former political rival.
你相信死后永生吗？	Do you believe in eternal life after death?
猎人在田野追兔子	The hunter chases the rabbit in the fields.
十字路口出了车祸。	There's been an accident at the crossroads.
非常感谢你的参与！	Thank you very much for your participation!
有一部分人不同意。	There is a group of people who don't agree.
他告诉我他不怕蛇。	He told me that he wasn't scared of snakes.
市中心是城市之心。	The downtown area is the heart of the city.
那不是蟋蟀。是蚂蚱！	That's not a cricket, that's a grasshopper.
饭勿要盛得满得很。	Don't fill up your bowl with too much food.
你还没洗手，不是吗？	You haven't washed your hands yet, have you?
山坡上有一个茅屋。	There was a cottage on the side of the hill.
山坡上有一间小屋。	There was a cottage on the side of the hill.
山坡上有一间村屋。	There was a cottage on the side of the hill.
你其实没必要带伞。	You needn't have taken an umbrella with you.
你没必要辞掉工作。	It is not necessary for you to quit the job.
兩條街道互相平行。	The two streets run parallel to one another.
我觉得她有点自私。	It seems to me that she is a little selfish.
我学英语学了4年了。	I have been studying English for four years.
国家不同，习俗各异。	Social customs vary from country to country.
生产日期在盖子上。	The date of manufacture is shown on the lid.
洗衣机有些不对劲。	Something is wrong with the washing machine.
吃早餐之前先澆花。	Water the flowers before you have breakfast.
他们企图暗杀总统。	They attempted to assassinate the president.
你明早7点来接我吗？	Are you picking me up at 7 tomorrow morning?
我明早八点来接你。	I'll call for you at eight tomorrow morning.
我难以解决这问题。	It's difficult for me to solve this problem.
你能用圆珠笔写吗？	Would you please write with a ballpoint pen?
田中好像考过试了。	It seems that Mr. Tanaka has taken his exam.
我们决心保卫祖国。	We are determined to protect the motherland.
这个小孩不知好歹。	This child don't know what's coming for him.
友谊与快乐不可分。	Friendship and happiness can't be separated.
他白天睡夜晚工作。	He sleeps during the day and works at night.
你一共花了多少钱？	What is the total amount of money you spent?
你学了几年的汉语？	How many years have you studied Chinese for?
你汉语学了几年了？	How many years have you studied Chinese for?
我的祖父死于二战。	My grandfather died in the Second World War.
每人心里都有牢骚。	Everyone has something that's troubling him.
「这干啥的呀？」「不清楚。」	"What exactly does this do?" "I'm not sure."
玛丽有一百多双鞋。	Mary has more than a hundred pairs of shoes.
和你妹妹一起更好。	It would be better with your younger sister.
他竟然还给我装傻。	Despite everything he is still playing dumb.
向前一步，走向文明。	One step forward is a step towards civility.
我明天去預約洗牙。	Tomorrow, I will book a dentist appointment.
日本人普遍很内敛。	Japanese people are generally very reserved.
书页因年久而变黄	The pages are turning yellow with the years.
我去火车站买车票。	I went to the train station to buy a ticket.
好，星期日火车站见。	All right, see you at the station on Sunday.
我们村挨近火车站。	Our village is close to the railway station.
学生今天下午放假。	The students are on vacation this afternoon.
我得找人商量一下。	I need to find someone to discuss this with.
把书放在书柜底下。	Put the book on the bottom of the bookshelf.
你的言行必须一致。	Your words must correspond with your actions.
他说他怕天会下雨。	He said that he was afraid it would be rainy.
我前天到达成田市。	I arrived at Narita the day before yesterday.
“这”和“那”有什么区别？	What is the difference between this and that?
你参加社团活动吗？	Do you take part in any community activities?
今天沒有昨天潮溼。	It is less humid today than it was yesterday.
我整晚都开着窗户。	I left the window open all through the night.
拍照片光线不够亮。	There is insufficient light to take pictures.
第一排的座位5美元。	The charge for a front row seat is 5 dollars.
村里没啥娱乐活动。	There are not many amusements in the village.
马突然狂暴地乱跑。	Suddenly the horse began to run about wildly.
不用说，他是无辜的。	It goes without saying that he is not guilty.
他说的话全不可信。	There isn't a grain of truth in what he says.
周末他平常不在家。	He often stays away from home on the weekend.
她下午会洗自行车。	She is going to wash the bike this afternoon.
你家后院有几种鸟？	How many kinds of birds are in your backyard?
我怀疑这是辆黑车。	I am suspicious that this is an illegal taxi.
我们睡在我舅舅家。	We're spending the night at my uncle's house.
只要没有肉，都可以。	As long as there's no meat, anything is fine.
母雞孵蛋，孵出小雞。	A chicken hatches an egg and a chick emerges.
近来进入三伏天了。	Lately, we've entered the dog days of summer.
汤姆对结果很满意。	Tom was satisfied with how things turned out.
我这两天感觉难受。	I've been feeling sick for the last two days.
嫁鸡随鸡嫁狗随狗。	We must learn to accept the people around us.
汤姆学了几年法语。	Tom has been learning French for a few years.
你看过《沙漠雄狮》吗？	Have you seen the movie "Lion of The Desert"?
我有草莓，你想吃嗎？	I have strawberries. Do you want to eat some?
告诉孩子别进厨房。	Tell the children to stay out of the kitchen.
你腳下有一支鉛筆。	There's a pencil on the floor near your feet.
图书馆又没位置了。	The seats in the library are all taken again.
大部分人都挺冷漠。	The majority of people are quite indifferent.
3月21日是国际森林日。	March 21 is the International Day of Forests.
中国姓王的人最多。	The surname Wang is the most common in China.
失之毫厘，谬之千里。	Slight inattention can cause a great disaster.
麻烦给我点晕机药。	Please bring me some medicine for airsickness.
我不想有任何误会。	I don't want there to be any misunderstanding.
翻译跟原文很贴切。	The translation is quite true to the original.
红旗代表存在危险。	The red flag indicated the presence of danger.
我找到了我要的书。	I was able to find the book I was looking for.
他的客人多是窮人。	The majority of his clientele are poor people.
玛丽不如妹妹漂亮。	Mary isn't as beautiful as her younger sister.
汤姆在会议室等你。	Tom is waiting for you in the conference room.
將混合物攪拌均勻。	Blend the mixture together until it is smooth.
汤姆所言不符时局。	What Tom said doesn't apply in this situation.
她很确定她没怀孕。	She's completely sure that she's not pregnant.
我觉得你不要解释。	I don't think you need to give an explanation.
这么贵！能便宜些吗？	That's so expensive! Can't you get it cheaper?
愿有情人终成眷属。	May those who love each other end up together.
你这些年在做什么？	What have you been doing these last few years?
你迟早要后悔懒惰。	Sooner or later, you will regret your idleness.
你需要区分善与恶。	You should distinguish between right and wrong.
车站前面有个邮局。	There is a post office in front of the station.
路中间有一辆卡车。	A truck was standing in the middle of the road.
我尽快跑以赶上她。	I ran as fast as possible to catch up with her.
活火山会定期爆发。	The active volcano erupts at regular intervals.
乘船过海非常舒服。	It is very pleasant to cross the ocean by ship.
我关机前忘了存盘。	I forgot to save the file before switching off.
你又在欺負弱小了！	You're bullying someone smaller than you again!
有的，先生你有几位？	Yes, there are. How many of you are there, Sir?
一直染发太麻烦了。	It's become a hassle to keep on dyeing my hair.
他知道他在讲什么。	To his credit he knows what he's talking about.
明天要看流星雨啊！	Tomorrow we are going to see the meteor shower!
中文比其他外语难。	Chinese is harder than other foreign languages.
大千世界，无奇不有。	It's a big world out there, nothing is strange.
黏着语有许多后缀。	Agglutinative languages have a lot of suffixes.
软盘是硬盘的前身。	Floppy disks are the predecessor of hard disks.
情况不允许我出国。	The circumstances did not allow me to go abroad.
医生告诉她要静养。	The doctor told her that she should take a rest.
游过这条河要多久？	How long would it take to swim across the river?
你必需马上去那儿。	It is necessary for you to go there immediately.
